name,name_en,logo,rating,city,district,gender,category,min fee
مدارس جيل الصفا العالمية,Jeel Assafa International School,https://storage.yaschools.com/source//1/ivl3BSH8w5fKqjvZFHBmZscqn8GUKo46.jpg,4.3,الرياض,الفيحاء,بنين وبنات,عالمية,8 ألف
مدرسة سعود الدولية,Saud International School,https://storage.yaschools.com/source/school/logos/-kPiyP3GhoWe-JLxa-JTlRruk8DXP5EY.jpg,3.9,الرياض,السليمانية,بنين وبنات,عالمية,18 ألف
مدرسة قوس قزح الدولية- رينبو,Rainbow International School-AlSulimaniyah,https://storage.yaschools.com/source/school/logos/btTOnp6GFLqha6bq7Yr6WJiArLXibFUj.png,2.6,الرياض,السليمانية,بنين وبنات,عالمية,12 ألف
مدرسة الأماكن العالمية,ِAl amaken international school,https://storage.yaschools.com/source/school/logos/1Jchr_f2zP34Q74bwnfsB7PnmdkP7Tz1.jpg,2.5,الرياض,المربع,بنات,عالمية,14 ألف
مدارس الألسن العالمية,Al-Alson International School,https://storage.yaschools.com/source//1/f502_tApqu2-Yib0dZ-alUKNuJUDvGQ7.png,3.6,الرياض,المربع,بنين وبنات,عالمية,9 ألف
مدرستي الصغيرة العالمية,My Little School,https://storage.yaschools.com/source/school/logos/YZwH_S7QZhvvgdpMF2icIDrwhbFHt3bk.png,2.5,الرياض,الرائد,بنين وبنات,عالمية,45 ألف
مدارس التربية الاسلامية,Tarbiyah Islamiyah Schools,https://storage.yaschools.com/source/school/logos/9ukWsLumUNA1Z7LXgISp3F_9M87OG6dN.jpg,3.4,الرياض,الرحمانية,بنين,أهلية,40 ألف
مدرسة جواهر الرياض العالمية - الملز,Jawahir al riyadh international school,https://storage.yaschools.com/source//1/I-YabV0PEg9CLLg6Fd2xLGbbkRpXWj0v.jpg,3.4,الرياض,الملز,بنين وبنات,عالمية,14 ألف
مدارس الاقبال العالمية - فرع النزهة,Al Iqbal International School,https://storage.yaschools.com/source/school/logos/EDdsZOgYM67RgkXUfQkDNqm5_lRhv2yl.jpg,4.2,الرياض,النزهه,بنين وبنات,عالمية,13 ألف
مدرسة شروق الشمس العالمية,Sunrise International Schools,https://storage.yaschools.com/source/school/logos/xsluOxNvsckGJSq5CXdDWAnBZcsNfm3o.jpg,3.4,الرياض,البديعة,بنين وبنات,عالمية,11 ألف
مدارس الإبداع العالمية - فرع الورود,Creativity International School Al Wurud,https://storage.yaschools.com/source/school/logos/0zc87Ja7ytVlGXBWaP5G_2JfvsLMBfs7.png,2.5,الرياض,الورود,بنات,عالمية,14 ألف
مدارس دار السلام الأهلية,Dar Assalam National Schools,https://storage.yaschools.com/source//1/aD43doaTkqn5yQXO7KBO2Ygyt-nw9Tv6.jfif,2.5,الرياض,الرحمانية,بنين وبنات,أهلية,19 ألف
المدارس المتقدمة الأهلية,National Advanced School,https://storage.yaschools.com/source/school/logos/3_WVs2BdgaAGwxyvlBroz3kHPCNLSoP9.jpg,2.5,الرياض,العقيق,بنين وبنات,أهلية,18 ألف
مدرسة بواكير,bawakeer schools,https://storage.yaschools.com/source/school/logos/iZpkOFa0eezL1d9e84xUZg73F48c0zYe.png,3.6,الرياض,الروابى,بنين وبنات,أهلية,17 ألف
مدارس الأفق الأهلية,Alofoq National School,https://storage.yaschools.com/source/school/logos/cRVgpWr8aGXDZlPVInzk79pfA-V85BNM.png,2.5,الرياض,غرناطة,بنين وبنات,أهلية,0
المدرسة السريلانكية العالمية الرياض,Sri lankan International School in Riyadh,https://storage.yaschools.com/source/school/logos/waCOOmq0A9tdyBa7b1_OAGXHmtipC8eq.jpg,2.5,الرياض,الملز,بنين وبنات,عالمية,5 ألف
مدرسة الملك فيصل العالمية,King Faisal School,https://storage.yaschools.com/source/school/logos/y1qiQKkrQP0XB2qYyHJ7c07waw23Khtc.jpg,2.5,الرياض,السفارات,بنين,عالمية,35 ألف
مدارس العلم العالمية,Education International Schools,https://storage.yaschools.com/source/school/logos/0Bc0Hgi_E2en2OL9q58ideKV3yinn80h.jpg,2.6,الرياض,السليمانية,بنين وبنات,عالمية,17 ألف
المدارس البريطانية العالمية,British International School Riyadh,https://storage.yaschools.com/source/school/logos/qw5UfSDtIthbem4_W-iBdXDynFjqvefV.JPG,2.5,الرياض,الشهداء,بنين وبنات,عالمية,40 ألف
مدارس رسالة الهدى العالمية بنين,Resalt alhuda International School,https://storage.yaschools.com/source/school/logos/SKUAsvjA1uA9-Ut1wYmvKr9-3Fl-LVz7.jpg,3.6,الرياض,العزيزية,بنين,عالمية,12 ألف
مدارس جسور المعرفة العالمية,Knowledge Bridges International School,https://storage.yaschools.com/source/school/logos/x44alttbOUUge6zRUmc17iEicdJ__W88.jpg,3.9,الرياض,الربوة,بنات,عالمية,13 ألف
المدرسة العالمية الغينية,Ghana International School riyadh,https://storage.yaschools.com/source//1/o0sm-OGHGbLTvRPElh0pEuzabx9rSw8a.png,2.5,الرياض,عليشة,بنين وبنات,عالمية,8 ألف
مدرسة النسيم التعليميه العالميه,Al Naseem International Educational School Riyadh,https://storage.yaschools.com/source/school/logos/vvMVG_mTKTclm5VkUHdS_YbXPUWT5sSX.jpg,2.5,الرياض,النسيم,بنات,عالمية,7 ألف
مدارس المدينه العالمية,Madinah international schools,https://storage.yaschools.com/source//1/oYlsLUnZdlgbvzAQp7cItD3Fi_B7jZyh.jpg,4.9,الرياض,الربوة,بنين وبنات,عالمية,11 ألف
مدارس التعليم المتطور,Advanced Learning Schools,https://storage.yaschools.com/source/school/logos/JNeyks8oGOQ9Ctt0RHFo8J3Tv7dUYId8.jpg,2.5,الرياض,النخيل,بنين وبنات,عالمية,57 ألف
مدارس الحصان العالمية,Al Hussan International School,https://storage.yaschools.com/source/school/logos/-qLvtsFzl53nxp8907vpHJw11su7ZeFd.png,3.3,الرياض,قرطبه,بنين وبنات,عالمية,30 ألف
مدرسة دلهي الدولية العامة,"Daratassalam International Delhi Public School, Riyadh",https://storage.yaschools.com/source/school/logos/-jIdLeAXFEABHlLF1ITB_ovLzreqsn8g.jpg,2.5,الرياض,المعذر الشمالي,بنين وبنات,دولية,0
مدارس النوابغ الأهلية- العريجاء,Nawabegh National Schools - Al Uraija,https://storage.yaschools.com/source/school/logos/7Vqdr1cfAOAUPZuQObxwJUNIf19hnq9K.jpg,2.5,الرياض,العريجاء,بنين وبنات,أهلية,12 ألف
مدارس أطفال النخبة,Elite Kids School,https://storage.yaschools.com/source/school/logos/c22pKeXRzB5NLknNlkkAShY_4pKV8auE.jpg,2.5,الرياض,الرحمانية,بنين وبنات,أهلية,10 ألف
